DayName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,46,34,29,19,29,24,39,52,75,58,74,63,53,47,56,61,60,57,51,87,90,96,69,61
Tuesday,54,39,32,20,20,16,35,40,40,55,59,57,40,45,49,54,59,42,65,78,100,99,80,50
Wednesday,61,30,28,17,18,23,35,40,47,59,71,54,52,60,47,44,57,61,58,78,89,84,96,54
Thursday,52,28,20,16,16,18,29,39,56,55,65,55,46,53,43,46,55,55,72,71,85,91,63,57
Friday,49,37,24,18,16,15,40,30,38,56,56,54,41,52,56,50,51,59,58,78,95,77,72,38
Saturday,51,33,26,28,13,11,36,52,47,52,64,55,43,40,57,53,73,55,68,67,80,66,69,54
Sunday,48,28,28,12,18,25,37,26,32,47,58,52,54,46,66,64,45,45,63,78,94,101,91,58
