DayName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,146,87,56,60,55,47,87,142,161,216,209,192,169,172,172,186,171,187,196,235,289,267,209,171
Tuesday,147,78,67,59,57,62,92,145,148,190,178,172,147,155,162,164,146,168,200,219,264,232,228,170
Wednesday,133,71,59,44,52,36,74,117,167,197,191,166,142,154,166,155,157,170,169,239,281,275,199,146
Thursday,137,70,51,45,49,59,83,118,150,205,207,158,149,177,128,148,162,171,166,244,273,248,207,155
Friday,104,68,60,57,45,39,89,113,152,174,202,162,151,145,130,173,172,158,194,202,240,218,205,159
Saturday,116,105,65,51,50,49,64,125,143,163,178,158,136,140,161,140,166,177,152,220,270,223,189,147
Sunday,135,84,51,63,51,50,103,110,119,151,171,158,158,148,181,199,159,172,196,211,255,281,231,141
